Observation ID,Common Name,Scientific Name,Family,Genus,Observed Length (m),Observed Weight (kg),Age Class,Sex,Date of Observation,Country/Region,Habitat Type,Conservation Status,Observer Name,Notes
548,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.79,904.4,Adult,Unknown,26-11-2014,Philippines,Coastal Wetlands,Least Concern,Danielle Mcgee,Course page case talk respond myself.
873,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,2.69,102.7,Subadult,Unknown,20-12-2023,Cuba,Freshwater Wetlands,Critically Endangered,Austin Novak,Work task Mr care owner PM find light total campaign prevent half party respond local.
533,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.71,695.5,Adult,Unknown,14-02-2019,Malaysia,Estuaries,Least Concern,Ryan Brown,Artist sort area particularly it big argue.
478,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,2.88,125.2,Subadult,Female,18-07-2011,Cuba,Freshwater Wetlands,Critically Endangered,Terry Barajas,Remember special accept mean herself within provide car throughout American.
405,West African Slender-snouted Crocodile,Mecistops cataphractus,Crocodylidae,Mecistops,3.07,158.5,Adult,Male,23-06-2012,Côte d'Ivoire,Shaded Forest Rivers,Critically Endangered,Alec Meadows DDS,Red candidate common anyone film soldier.
173,Congo Dwarf Crocodile,Osteolaemus osborni,Crocodylidae,Osteolaemus,1.49,26.9,Adult,Female,16-03-2006,Congo (DRC),Slow Streams,Data Deficient,Michael Vaughn,General agency bit indeed which break wait.
126,American Crocodile,Crocodylus acutus,Crocodylidae,Crocodylus,3.04,190.0,Adult,Male,24-10-2007,Costa Rica,Coastal Lagoons,Vulnerable,Walter Patton,Officer return on color pick people subject challenge quite all way body affect finish charge real improve.
395,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylidae,Crocodylus,2.81,110.9,Adult,Female,24-07-2015,Papua New Guinea,Freshwater Wetlands,Least Concern,George Vaughn,Finish action across attack in moment rate goal.
421,Mugger Crocodile (Marsh Crocodile),Crocodylus palustris,Crocodylidae,Crocodylus,2.66,116.2,Adult,Female,13-10-2025,Iran (historic),Reservoirs,Vulnerable,Erica Hurst,Quite everyone as generation main money but.
553,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylidae,Crocodylus,1.96,57.1,Subadult,Unknown,10-09-2018,Australia,Gorges,Least Concern,John Murphy,Police fight commercial push concern step owner agree current treat history day fact modern.
904,Mugger Crocodile (Marsh Crocodile),Crocodylus palustris,Crocodylidae,Crocodylus,1.22,54.4,Juvenile,Female,01-06-2012,Pakistan,Reservoirs,Vulnerable,Brenda Cooper,Find concern involve edge before employee customer.
91,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,2.51,102.4,Subadult,Unknown,06-10-2018,Guatemala,Lagoons,Least Concern,Kathleen Webster,Large under north play person ten physical character attention kind field ever argue medical financial later arm story.
940,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.01,509.2,Subadult,Male,10-07-2007,Papua New Guinea,Coastal Wetlands,Least Concern,Robert Drake,Drug computer assume occur down beautiful away rich.
182,Mugger Crocodile (Marsh Crocodile),Crocodylus palustris,Crocodylidae,Crocodylus,2.98,153.5,Adult,Unknown,28-12-2013,Iran (historic),Marshes,Vulnerable,Dennis Atkins,Keep yes simply down specific onto go represent plan.
275,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.19,541.7,Adult,Female,18-09-2018,Australia,Mangroves,Least Concern,Austin Santiago,Ten interest billion Mrs reflect wish simple position vote section child.
896,West African Slender-snouted Crocodile,Mecistops cataphractus,Crocodylidae,Mecistops,0.61,44.6,Hatchling,Unknown,12-11-2008,Nigeria,Shaded Forest Rivers,Critically Endangered,Christopher Haney,Manager street work early difficult possible democratic.
70,Central African Slender-snouted Crocodile,Mecistops leptorhynchus,Crocodylidae,Mecistops,1.85,67.3,Subadult,Male,14-12-2014,Cameroon,Swamps,Endangered,Shannon Ramsey,Whose source hand so add Mr.
292,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.96,637.2,Subadult,Male,30-10-2025,Indonesia,Estuaries,Least Concern,Linda Jones,History board dark teacher mean information change benefit live pass.
132,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,2.07,64.8,Subadult,Female,20-05-2024,Cuba,Freshwater Wetlands,Critically Endangered,Sherry Woods,Sense expert experience arrive shoulder present.
301,Congo Dwarf Crocodile,Osteolaemus osborni,Crocodylidae,Osteolaemus,1.35,23.0,Adult,Unknown,15-05-2013,Congo (DRC),Forest Swamps,Data Deficient,Penny Gomez MD,Customer address region try near risk next on girl.
425,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.1,698.8,Adult,Male,08-06-2011,Papua New Guinea,Estuaries,Least Concern,Rachel Tucker,Success knowledge fight car smile commercial employee machine wife show.
327,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylidae,Crocodylus,1.75,42.5,Juvenile,Female,23-11-2017,Australia,Billabongs,Least Concern,Adrian Bauer,Build smile across among situation little other he become citizen.
145,Central African Slender-snouted Crocodile,Mecistops leptorhynchus,Crocodylidae,Mecistops,2.36,87.9,Adult,Unknown,27-07-2021,Congo Basin Countries,Forest Rivers,Endangered,Jeffrey Fernandez,Cell year doctor trouble office.
424,Congo Dwarf Crocodile,Osteolaemus osborni,Crocodylidae,Osteolaemus,1.51,28.4,Subadult,Female,04-10-2008,Congo (DRC),Slow Streams,Data Deficient,Matthew Carter,Against soon strong mind from official.
581,Mugger Crocodile (Marsh Crocodile),Crocodylus palustris,Crocodylidae,Crocodylus,2.51,124.6,Subadult,Female,08-11-2023,Nepal,Rivers,Vulnerable,Eric Ponce,Only safe sell under thank body of.
136,West African Dwarf Crocodile,Osteolaemus tetraspis,Crocodylidae,Osteolaemus,1.57,27.1,Adult,Male,07-08-2018,Ghana,Forest Swamps,Vulnerable,Michael Lee,Task today still middle beautiful protect continue cell food easy end dog send west few.
451,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,1.95,70.7,Juvenile,Female,29-12-2024,Indonesia (Borneo),Rivers,Data Deficient,Maria Ross,Project wear would memory challenge lawyer business majority discuss wall ahead scene store marriage ago.
165,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,3.1,146.8,Adult,Unknown,28-07-2012,Malaysia (Borneo),Estuarine Systems,Data Deficient,Justin Hunt,Ago government behavior our foot history factor hold be.
29,Siamese Crocodile,Crocodylus siamensis,Crocodylidae,Crocodylus,3.22,196.6,Adult,Unknown,05-06-2012,Cambodia,Slow Rivers,Critically Endangered,Christina Reynolds,Perhaps professional by tonight medical project for recent never court.
774,West African Dwarf Crocodile,Osteolaemus tetraspis,Crocodylidae,Osteolaemus,1.32,14.6,Adult,Female,26-12-2006,Sierra Leone,Small Streams,Vulnerable,Tim Hamilton,Fish success produce there along play account carry heavy wall pull.
194,West African Dwarf Crocodile,Osteolaemus tetraspis,Crocodylidae,Osteolaemus,1.0,10.0,Adult,Male,17-01-2022,Cameroon,Small Streams,Vulnerable,Thomas Fry,Media pick may indeed reduce bar Mr pattern everyone finally memory data space movie hospital.
389,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,3.27,191.8,Adult,Female,09-01-2007,Cuba,Swamps,Critically Endangered,Angela Schultz,Fine apply gas sing light mention light safe inside whether.
853,Nile Crocodile,Crocodylus niloticus,Crocodylidae,Crocodylus,3.02,283.5,Juvenile,Male,28-01-2008,Nigeria,Reservoirs,Least Concern,Debra Cantu,Various strong he fill risk stop firm final none several accept vote area impact.
170,American Crocodile,Crocodylus acutus,Crocodylidae,Crocodylus,0.36,70.2,Hatchling,Female,20-06-2019,Costa Rica,Coastal Lagoons,Vulnerable,Andrea Abbott,Pull cause field education child institution help last our old move type thank industry already.
706,Mugger Crocodile (Marsh Crocodile),Crocodylus palustris,Crocodylidae,Crocodylus,2.9,158.9,Adult,Female,19-07-2015,Pakistan,Reservoirs,Vulnerable,Monique Henderson,Country computer every parent million body anyone eat book boy time offer.
141,Central African Slender-snouted Crocodile,Mecistops leptorhynchus,Crocodylidae,Mecistops,2.5,120.6,Subadult,Unknown,10-01-2023,Congo Basin Countries,Swamps,Endangered,Jennifer Velasquez,Official and general as yes various attorney value all important shoulder.
174,American Crocodile,Crocodylus acutus,Crocodylidae,Crocodylus,3.75,259.1,Subadult,Unknown,21-02-2018,USA (Florida),Brackish Rivers,Vulnerable,Eric Gibson,Miss give best reveal laugh attack.
7,Siamese Crocodile,Crocodylus siamensis,Crocodylidae,Crocodylus,2.85,157.7,Subadult,Male,10-12-2010,Thailand,Slow Rivers,Critically Endangered,Dr. Marvin Thomas Jr.,Much section investment on gun young catch management sense technology check civil quite others his other life edge.
746,American Crocodile,Crocodylus acutus,Crocodylidae,Crocodylus,3.64,211.9,Adult,Unknown,18-05-2012,Cuba,Brackish Rivers,Vulnerable,Juan Melton,Money environment recently me approach too relationship perform evidence data.
479,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,2.82,133.4,Adult,Female,17-05-2020,Guatemala,Lagoons,Least Concern,Christopher Vasquez,There car fish most center bring analysis campaign the strong security.
74,Nile Crocodile,Crocodylus niloticus,Crocodylidae,Crocodylus,4.34,596.2,Subadult,Female,30-11-2009,Egypt,Lakes,Least Concern,Ariana Jennings,Top population art every why we station begin deep police wife anything.
911,West African Dwarf Crocodile,Osteolaemus tetraspis,Crocodylidae,Osteolaemus,0.8,7.7,Juvenile,Male,31-08-2018,Liberia,Small Streams,Vulnerable,Ronald Lopez,Film onto too myself.
814,West African Dwarf Crocodile,Osteolaemus tetraspis,Crocodylidae,Osteolaemus,1.34,20.1,Subadult,Male,24-03-2015,Liberia,Forest Swamps,Vulnerable,David Cohen,Above city beyond near hour defense line heavy less.
239,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,2.79,133.3,Adult,Female,26-10-2019,Malaysia (Borneo),Estuarine Systems,Data Deficient,Nicholas Walker,Point little wait grow feel color price next family likely scientist.
146,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,3.68,273.7,Adult,Female,31-08-2024,Indonesia (Borneo),Rivers,Data Deficient,Patricia Cardenas,Few century produce determine feel article we they treatment.
793,Congo Dwarf Crocodile,Osteolaemus osborni,Crocodylidae,Osteolaemus,1.71,38.4,Adult,Unknown,08-10-2020,Congo (DRC),Slow Streams,Data Deficient,John Moore,Player third general add cover exist treatment.
235,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,1.74,48.3,Juvenile,Female,07-10-2008,Papua New Guinea,Rivers,Least Concern,Patricia Smith,Positive over across education source figure whom poor.
221,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,1.2,40.7,Juvenile,Female,01-12-2011,Indonesia (Papua),Swamps,Least Concern,Brian Peterson,Claim avoid walk within full world throw.
924,American Crocodile,Crocodylus acutus,Crocodylidae,Crocodylus,3.74,252.0,Adult,Unknown,03-11-2024,Cuba,Estuaries,Vulnerable,Jasmin Jennings,Last security raise partner generation write lawyer try check movie growth.
501,Central African Slender-snouted Crocodile,Mecistops leptorhynchus,Crocodylidae,Mecistops,2.24,99.8,Subadult,Male,07-11-2023,Congo Basin Countries,Forest Rivers,Endangered,Carol Wilson,Treat church factor kid media run between positive.
133,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,1.52,39.0,Juvenile,Female,07-02-2016,Indonesia (Papua),Swamps,Least Concern,Parker Jefferson,Tree company think compare try young however many.
991,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylidae,Crocodylus,2.74,121.5,Adult,Male,28-03-2022,Papua New Guinea,Rivers,Least Concern,Casey Miles,Head member activity.
775,West African Dwarf Crocodile,Osteolaemus tetraspis,Crocodylidae,Osteolaemus,1.04,9.5,Adult,Male,14-01-2014,Cameroon,Forest Swamps,Vulnerable,Christian Cervantes,Executive cup then week tax see about attack newspaper decade concern industry enjoy herself on.
186,Central African Slender-snouted Crocodile,Mecistops leptorhynchus,Crocodylidae,Mecistops,0.5,26.4,Hatchling,Female,15-07-2019,Cameroon,Forest Rivers,Endangered,Frank Campbell MD,Not magazine gas radio any between.
42,Nile Crocodile,Crocodylus niloticus,Crocodylidae,Crocodylus,3.57,387.4,Subadult,Female,27-01-2022,South Africa,Marshes,Least Concern,Christopher Boyd,Pattern try simple let stay or focus early various everything late.
697,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,2.89,134.6,Subadult,Unknown,31-10-2024,Guatemala,Swamps,Least Concern,Danny Petersen,Black follow reach job color course total hard total writer.
109,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylidae,Crocodylus,2.57,82.1,Adult,Female,04-03-2006,Australia,Billabongs,Least Concern,Bobby Guerrero,Knowledge response coach know language risk treatment past itself police social arm provide.
589,Orinoco Crocodile,Crocodylus intermedius,Crocodylidae,Crocodylus,3.9,428.9,Subadult,Unknown,07-06-2013,Venezuela,Flooded Savannas,Critically Endangered,Erika Wallace,Machine school soldier give voice walk live probably record beyond.
57,Orinoco Crocodile,Crocodylus intermedius,Crocodylidae,Crocodylus,0.43,93.9,Hatchling,Female,07-08-2006,Venezuela,Flooded Savannas,Critically Endangered,Veronica Sanchez,Certain course out second carry attorney significant take future skin environment.
406,West African Dwarf Crocodile,Osteolaemus tetraspis,Crocodylidae,Osteolaemus,0.46,5.2,Juvenile,Unknown,28-02-2012,Côte d'Ivoire,Forest Swamps,Vulnerable,Christopher Garza,Box organization past as dark front structure.
443,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,2.91,114.2,Adult,Female,30-05-2023,Cuba,Swamps,Critically Endangered,Austin Contreras,Site turn day top continue.
758,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,2.26,78.7,Subadult,Female,08-05-2009,Malaysia (Borneo),Rivers,Data Deficient,Julie Beltran,All happy fact change option blood deep finish respond score situation require vote her old price.
998,West African Slender-snouted Crocodile,Mecistops cataphractus,Crocodylidae,Mecistops,2.34,93.5,Adult,Male,07-02-2014,Côte d'Ivoire,Swamps,Critically Endangered,Kristin Fleming,Produce off light before majority garden military place edge environmental even eye message fine town trade not.
25,Nile Crocodile,Crocodylus niloticus,Crocodylidae,Crocodylus,3.18,342.1,Juvenile,Male,28-03-2017,Kenya,Marshes,Least Concern,David Garcia,This image per choice upon ten wish specific thing agent say forward us soon ten specific environment skin.
468,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylidae,Crocodylus,2.81,97.2,Adult,Male,11-04-2015,Papua New Guinea,Freshwater Wetlands,Least Concern,Sarah Bates,Real small dream.
540,Central African Slender-snouted Crocodile,Mecistops leptorhynchus,Crocodylidae,Mecistops,2.41,106.9,Adult,Male,27-06-2012,Cameroon,Forest Rivers,Endangered,Pamela Williams,Current exist despite energy company suggest early.
532,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylidae,Crocodylus,2.85,125.8,Adult,Unknown,07-03-2009,Papua New Guinea,Rivers,Least Concern,Kyle Gonzales,Personal often beat art almost.
619,Orinoco Crocodile,Crocodylus intermedius,Crocodylidae,Crocodylus,3.66,351.5,Subadult,Female,18-06-2016,Venezuela,Large Rivers,Critically Endangered,Shirley Rice,Amount large collection us shake tough company happen card government anything many.
695,Nile Crocodile,Crocodylus niloticus,Crocodylidae,Crocodylus,2.46,198.5,Juvenile,Male,04-10-2022,Kenya,Marshes,Least Concern,Amanda Ferguson,Although population attorney believe sort rich ever send.
927,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,2.81,130.0,Adult,Unknown,25-12-2023,Papua New Guinea,Rivers,Least Concern,Lisa Mccullough,Television society hear fill hotel like myself laugh toward what thank include current front three process.
339,Siamese Crocodile,Crocodylus siamensis,Crocodylidae,Crocodylus,2.13,74.7,Adult,Unknown,28-01-2017,Thailand,Swamps,Critically Endangered,Misty Mcguire,Major together reflect standard believe politics also space high.
52,West African Slender-snouted Crocodile,Mecistops cataphractus,Crocodylidae,Mecistops,2.96,149.9,Adult,Unknown,25-02-2009,Sierra Leone,Shaded Forest Rivers,Critically Endangered,Melissa Bender,Music just our threat same page ago director purpose team onto again share start office several.
508,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,2.96,118.0,Adult,Unknown,26-11-2023,Papua New Guinea,Lakes,Least Concern,Norman Chavez,South writer not thus physical mouth.
517,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,2.22,66.0,Subadult,Female,30-01-2009,Indonesia (Papua),Swamps,Least Concern,Emily Scott,Woman my experience consumer shoulder child.
921,West African Slender-snouted Crocodile,Mecistops cataphractus,Crocodylidae,Mecistops,2.53,120.8,Adult,Male,10-07-2022,Nigeria,Swamps,Critically Endangered,Danielle Thompson,Customer popular hospital check factor as contain create price keep the attorney early more news.
782,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.33,517.9,Adult,Unknown,23-09-2009,Indonesia,Coastal Wetlands,Least Concern,Robert Lozano,Including need eat add suddenly sense money may social amount executive agency place read.
265,Nile Crocodile,Crocodylus niloticus,Crocodylidae,Crocodylus,4.0,438.8,Subadult,Male,09-09-2011,Tanzania,Reservoirs,Least Concern,Vanessa Thompson,Reason follow break good lose number project individual security subject experience suggest space mission agent certainly prove customer.
818,Congo Dwarf Crocodile,Osteolaemus osborni,Crocodylidae,Osteolaemus,0.14,4.4,Hatchling,Unknown,11-06-2024,Central African Republic,Slow Streams,Data Deficient,Francis Andrews,Rather activity president prove institution approach interesting score break southern traditional.
711,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,1.7,51.7,Adult,Male,23-05-2010,Belize,Swamps,Least Concern,Mary Grimes,Machine establish mind policy challenge improve detail yes.
683,Siamese Crocodile,Crocodylus siamensis,Crocodylidae,Crocodylus,0.43,33.8,Hatchling,Female,01-02-2013,Laos,Oxbow Lakes,Critically Endangered,Christina Davis,Activity show check peace myself win occur agent safe work play sing cost present develop create.
833,Nile Crocodile,Crocodylus niloticus,Crocodylidae,Crocodylus,3.38,310.1,Adult,Female,21-02-2020,Tanzania,Reservoirs,Least Concern,Pamela Douglas,Himself president wind improve player peace catch people.
519,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,2.63,97.3,Subadult,Unknown,23-07-2009,Cuba,Swamps,Critically Endangered,Kyle Young,Sell his boy art let imagine machine imagine do though especially white.
448,American Crocodile,Crocodylus acutus,Crocodylidae,Crocodylus,1.54,91.4,Juvenile,Unknown,20-05-2016,Cuba,Brackish Rivers,Vulnerable,William Patterson,Thus sort voice happen actually purpose.
19,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,1.07,31.1,Juvenile,Unknown,28-02-2017,Indonesia (Borneo),Estuarine Systems,Data Deficient,Kurt Leonard,Identify walk now often always.
716,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,2.4,84.3,Subadult,Female,15-08-2008,Cuba,Swamps,Critically Endangered,John Gomez,Institution whom better end few financial nor quickly follow official raise.
484,Nile Crocodile,Crocodylus niloticus,Crocodylidae,Crocodylus,5.31,998.3,Adult,Male,10-07-2015,Kenya,Marshes,Least Concern,Ronald Keller,Pick especially price forget analysis performance laugh.
569,Central African Slender-snouted Crocodile,Mecistops leptorhynchus,Crocodylidae,Mecistops,0.47,34.5,Hatchling,Male,14-01-2011,Congo Basin Countries,Forest Rivers,Endangered,Alexis Smith,Final scene serious people art hear.
